web-scraper-order,web-scraper-start-url,company_link,company_link-href,brand_link,brand_link-href,company,company-href,name,rating-src,brand,brand-href
"1594204674-224","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Vivienne Westwood","https://guide.ethical.org.au/company/?company=4938","Vivienne Westwood","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594215815-1738","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Forever New","https://guide.ethical.org.au/company/?company=4985","Forever New","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594205544-347","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Thomas Foods International","https://guide.ethical.org.au/company/?company=1212","Thomas Foods International","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594212250-1262","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Li & Fung Group","https://guide.ethical.org.au/company/?company=4841","Li & Fung Group","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594215246-1658","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Glanbia","https://guide.ethical.org.au/company/?company=3001","Glanbia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594209501-895","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","OPPO Australia","https://guide.ethical.org.au/company/?company=3022","OPPO Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594213292-1404","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Jesse Apparel","https://guide.ethical.org.au/company/?company=4978","Jesse Apparel","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594213748-1459","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Independent Liquor (NZ)","https://guide.ethical.org.au/company/?company=4408","Independent Liquor (NZ)","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594218360-2084","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Casella Family Brands","https://guide.ethical.org.au/company/?company=3288","Casella Family Brands","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594215919-1753","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Foldermate","https://guide.ethical.org.au/company/?company=4511","Foldermate","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594209370-876","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Osborne","https://guide.ethical.org.au/company/?company=4416","Osborne","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
