web-scraper-order,web-scraper-start-url,directory_link,directory_link-href,company,rating
"1593892370-4886","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","West Ham United FC","(14)"
"1593892447-5875","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","I-Islan","http://www.corporatecritic.org/companiesatoz/I.aspx","Innerworkings","14"
"1593892415-5466","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","O-Overs","http://www.corporatecritic.org/companiesatoz/O.aspx","O'Briens Irish Sandwich Bars Ltd","14"
"1593892499-6680","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Barclays Plc","1.5"
"1593892435-5756","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","L-Leona","http://www.corporatecritic.org/companiesatoz/L.aspx","Laverana GmbH & Co KG","10.5"
"1593892408-5401","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Phile-Prezz","http://www.corporatecritic.org/companiesatoz/Phile.aspx","Plan Creations Co Ltd","14"
"1593892428-5648","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","M-Maxin","http://www.corporatecritic.org/companiesatoz/M.aspx","Maini Group","14"
"1593892417-5521","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Ninte-NYK L","http://www.corporatecritic.org/companiesatoz/Ninte.aspx","Nutriops SL","13"
"1593892460-6081","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","G-Glebe","http://www.corporatecritic.org/companiesatoz/G.aspx","Giovanni Agnelli & C","12"
"1593892464-6104","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Flowf-Funda","http://www.corporatecritic.org/companiesatoz/Flowf.aspx","Forum for African Women Educationalists","???"
"1593892402-5309","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","R-Risk","http://www.corporatecritic.org/companiesatoz/R.aspx","Ragman's Lane Farm","14"
"1593892442-5839","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","J","http://www.corporatecritic.org/companiesatoz/J.aspx","Johnson & Johnson","4"
"1593892366-4824","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","X","http://www.corporatecritic.org/companiesatoz/X.aspx","Xiaomi Corporation","???"
"1593892426-5623","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Maya-Minis","http://www.corporatecritic.org/companiesatoz/Maya.aspx","MERMAID UK HOLDCO LIMITED","???"
"1593892402-5322","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","R-Risk","http://www.corporatecritic.org/companiesatoz/R.aspx","Real Nice Organic","15"
"1593892379-4994","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","Twitter Inc","10.5"
"1593892467-6169","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","F-Flaya","http://www.corporatecritic.org/companiesatoz/F.aspx","Fiskars AB OY","14"
"1593892433-5724","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Lette-Lolli","http://www.corporatecritic.org/companiesatoz/Lette.aspx","LiteBulb Group Ltd","9"
"1593892377-4952","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","U","http://www.corporatecritic.org/companiesatoz/U.aspx","Unibel","14"
"1593892499-6675","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Bandai Namco Holdings Inc","14"
"1593892433-5707","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Lette-Lolli","http://www.corporatecritic.org/companiesatoz/Lette.aspx","Liberty International","14"
"1593892430-5701","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Londo-Lyrec","http://www.corporatecritic.org/companiesatoz/Londo.aspx","Lyreco","14"
"1593892471-6205","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Edwin Tucker & Sons Ltd","8.5"
"1593892406-5358","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","Product Creation Ltd","14"
"1593892471-6198","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Eco Vegan Shoes International BV","???"
