web-scraper-order,web-scraper-start-url,category_link,category_link-href,company,rating
"1593950182-2640","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Elizabeth Suzann","Rated : Good"
"1593950136-2251","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Vanity Fair","Rated : It's a start"
"1593950136-2357","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Freya Lingerie and Swimwear","null"
"1593950287-4023","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Debenhams","Rated : It's a start"
"1593950349-4553","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","NIKIN","Rated : Good"
"1593950084-1898","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Merrell","Rated : Not Good Enough"
"1593950054-1392","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Ted Baker","Rated : Not Good Enough"
"1593950287-3868","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","All the Wild Roses","Rated : Good"
"1593950226-3220","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Nike","Rated : It's a start"
"1593950226-3104","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Reebok","Rated : Good"
"1593950256-3473","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Jeanerica","Rated : Good"
"1593950349-4679","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Hanes","Rated : It's a start"
"1593950023-938","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Plant Faced","Rated : Good"
"1593950054-1249","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Plant Faced","Rated : Good"
"1593950084-1661","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","GAP","Rated : It's a start"
"1593950287-3784","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Threads 4 thought","Rated : Good"
