,category_link-href,company,rating,sd_rating
2534,https://directory.goodonyou.eco/categories/dresses,Fauxgerty,Rated : Good,75
2535,https://directory.goodonyou.eco/categories/basics,Linea,Rated : Not good enough,25
2536,https://directory.goodonyou.eco/categories/knitwear,Lorna Jane,Rated : Not good enough,25
2537,https://directory.goodonyou.eco/categories/outerwear,Asics,Rated : Not Good Enough,25
2538,https://directory.goodonyou.eco/categories/swimwear,Dotti,Rated : Not Good Enough,25
2539,https://directory.goodonyou.eco/categories/shoes,Rockay,Rated : It's a start,50
2540,https://directory.goodonyou.eco/categories/swimwear,Bower,Rated : Good,75
2541,https://directory.goodonyou.eco/categories/bottoms,A.BCH,Rated : Great,100
2542,https://directory.goodonyou.eco/categories/shoes,Lane Bryant,Rated : Not Good Enough,25
2543,https://directory.goodonyou.eco/categories/outerwear,Mme A-S Davik,Rated : Good,75
2544,https://directory.goodonyou.eco/categories/dresses,Bik Bok,Rated : It's a start,50
2545,https://directory.goodonyou.eco/categories/denim,Cotton On,Rated : It's a start,50
2546,https://directory.goodonyou.eco/categories/bags,Napapijri,Rated : It's a start,50
2547,https://directory.goodonyou.eco/categories/knitwear,Baserange,Rated : It's a start,50
2548,https://directory.goodonyou.eco/categories/bottoms,Nae,Rated : Good,75
2549,https://directory.goodonyou.eco/categories/bottoms,Marimekko,Rated : It's a start,50
2550,https://directory.goodonyou.eco/categories/knitwear,SKFK,Rated : Great,100
2551,https://directory.goodonyou.eco/categories/outerwear,Zalando Essentials,Rated : It's a start,50
2552,https://directory.goodonyou.eco/categories/outerwear,Katherine Hooker,Rated : It's a start,50
2553,https://directory.goodonyou.eco/categories/basics,Allbirds,Rated : Good,75
2554,https://directory.goodonyou.eco/categories/maternity,David Jones,Rated : Good,75
2555,https://directory.goodonyou.eco/categories/accessories,Ace & Tate,Rated : It's a start,50
2556,https://directory.goodonyou.eco/categories/dresses,Bassike,Rated : It's a start,50
2557,https://directory.goodonyou.eco/categories/dresses,Known Supply,Rated : Good,75
2558,https://directory.goodonyou.eco/categories/bottoms,Martha Medeiros,Rated : It's a start,50
2559,https://directory.goodonyou.eco/categories/outerwear,Reef,Rated : It's a start,50
2560,https://directory.goodonyou.eco/categories/bags,F.A.M.T.,Rated : Not good enough,25
2561,https://directory.goodonyou.eco/categories/tops,Rave Review,Rated : Good,75
2562,https://directory.goodonyou.eco/categories/denim,Valentino,Rated : Not good enough,25
2563,https://directory.goodonyou.eco/categories/denim,Modcloth,Rated : Not good enough,25
2564,https://directory.goodonyou.eco/categories/tops,One Vintage,Rated : Good,75
