,category-href,company,rating,sd_rating
521,https://thegoodshoppingguide.com/subject/coffee-shops/,Caffè Nero,65,65
522,https://thegoodshoppingguide.com/subject/bread/,Mother's Pride,71,71
523,https://thegoodshoppingguide.com/subject/skincare/,Nivea,58,58
524,https://thegoodshoppingguide.com/subject/tv-and-broadband/,fuel broadband,85,85
525,https://thegoodshoppingguide.com/subject/ethical-insurance/,Hastings Direct,66,66
526,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Bakers,50,50
527,https://thegoodshoppingguide.com/subject/skincare/,Weleda,81,81
528,https://thegoodshoppingguide.com/subject/tea/,Jacksons of Piccadilly,58,58
529,https://thegoodshoppingguide.com/subject/all-in-ones/,Xerox,59,59
530,https://thegoodshoppingguide.com/subject/sun-protection/,Hawaiian Tropic,65,65
531,https://thegoodshoppingguide.com/subject/tinned-tuna/,The Co-operative Food,77,77
532,https://thegoodshoppingguide.com/subject/ice-cream/,Little Big Food Co,67,67
533,https://thegoodshoppingguide.com/subject/ethical-vitamins/,Oxford Vitality,92,92
534,https://thegoodshoppingguide.com/subject/ethical-mortgages/,First Direct,22,22
535,https://thegoodshoppingguide.com/subject/dishwashers/,AEG,95,95
536,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Phase Eight,71,71
537,https://thegoodshoppingguide.com/subject/fridges-freezers/,Swan,77,77
538,https://thegoodshoppingguide.com/subject/make-up/,Elizabeth Arden,31,31
539,https://thegoodshoppingguide.com/subject/laundry-detergents/,Surf,36,36
540,https://thegoodshoppingguide.com/subject/vaccum-cleaners/,Hoover,73,73
541,https://thegoodshoppingguide.com/subject/boilers/,Quinta,86,86
542,https://thegoodshoppingguide.com/subject/ethical-vitamins/,Higher Nature,87,87
543,https://thegoodshoppingguide.com/subject/fridges-freezers/,Siemens,73,73
544,https://thegoodshoppingguide.com/subject/ice-cream/,Lyons,63,63
545,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Zara,71,71
546,https://thegoodshoppingguide.com/subject/cookers/,Gaggenau,73,73
547,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Avalon Organics,61,61
548,https://thegoodshoppingguide.com/subject/nappies/,Boots Baby,46,46
549,https://thegoodshoppingguide.com/subject/skincare/,Estee Lauder,42,42
550,https://thegoodshoppingguide.com/subject/chocolate/,Daim Bar,42,42
551,https://thegoodshoppingguide.com/subject/vegetarian-foods/,Amy's,87,87
552,https://thegoodshoppingguide.com/subject/ice-cream/,Tofutti,58,58
553,https://thegoodshoppingguide.com/subject/skincare/,Aveda,42,42
554,https://thegoodshoppingguide.com/subject/kettles/,Tefal,86,86
555,https://thegoodshoppingguide.com/subject/all-in-ones/,Ricoh,95,95
556,https://thegoodshoppingguide.com/subject/cookers/,Samsung,27,27
557,https://thegoodshoppingguide.com/subject/kitchen-appliances/,Krups,95,95
558,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Bank of Ireland,61,61
559,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Guinness,33,33
